jid,undergrad,law_school,prosecutor,defender
3419,Cornell University,Yale Law School,TRUE,FALSE
1,Brooklyn Law School,Brooklyn Law School,FALSE,FALSE
2,Washington College (now Washington and Jefferson College),NA,FALSE,FALSE
3,Birmingham-Southern College,Yale Law School,FALSE,FALSE
4,Rutgers School of Law -- Newark,Rutgers School of Law -- Newark,FALSE,FALSE
5,Marquette University,Marquette University Law School,FALSE,FALSE
6,Rutgers School of Law -- Newark,Rutgers School of Law -- Newark,TRUE,FALSE
7,University of Michigan Law School,University of Michigan Law School,FALSE,FALSE
8,Temple University,University of Pennsylvania Law School (now Carey Law School),FALSE,FALSE
9,Yale College,NA,FALSE,FALSE
10,Read law,NA,TRUE,FALSE
11,Read law,NA,FALSE,FALSE
12,Florida A&M University,Howard University School of Law,FALSE,TRUE
2989,Bowling Green State University,University of Akron School of Law,TRUE,FALSE
3295,"Bowdon College, Georgia",NA,FALSE,FALSE
2717,Princeton University,Columbia Law School,FALSE,FALSE
13,Georgetown College Law School (now Georgetown University Law Center),Georgetown College Law School (now Georgetown University Law Center),TRUE,FALSE
14,Cornell University,NA,FALSE,FALSE
9374881,Princeton University,"University of California, Berkeley, School of Law",TRUE,FALSE
2927,University of North Carolina,University of North Carolina School of Law,TRUE,FALSE
3174,Bridgewater College,University of Virginia School of Law,FALSE,FALSE
15,"University of California, Berkeley","University of California, Berkeley, School of Law",FALSE,FALSE
2750,University of Oregon,University of Oregon School of Law,FALSE,FALSE
16,Loyola University New Orleans School of Law,Loyola University New Orleans School of Law,FALSE,FALSE
17,Read law,NA,TRUE,FALSE
18,Ohio Northern University,Emory University School of Law,FALSE,FALSE
19,University of Southern California,University of Southern California Law School,TRUE,FALSE
5198506,"Trinity University, San Antonio, Texas",University of Texas School of Law,FALSE,FALSE
20,University of Alabama,University of Alabama School of Law,FALSE,FALSE
21,University of Pittsburgh,University of Pittsburgh School of Law,FALSE,FALSE
22,Columbia University,New York University School of Law,FALSE,FALSE
23,Harvard University,Harvard Law School,FALSE,FALSE
24,Read law,University of Michigan Law School,FALSE,FALSE
25,Loyola University Chicago,Chicago-Kent College of Law,TRUE,FALSE
26,Princeton University,Yale Law School,TRUE,FALSE
3373,Kutztown State College (now Kutztown University of Pennsylvania),North Carolina Central University School of Law,TRUE,TRUE
27,Yale University,University of Louisville School of Law (now Louis D. Brandeis School of Law),TRUE,FALSE
28,Western Reserve University (now Case Western Reserve University),New York University School of Law,TRUE,FALSE
29,University of Louisville Law Department (now Louis D. Brandeis School of Law),University of Louisville Law Department (now Louis D. Brandeis School of Law),TRUE,FALSE
30,Stanford University,Stanford Law School,FALSE,FALSE
31,Alabama Polytechnic Institute (now Auburn University),Birmingham School of Law,FALSE,FALSE
32,Cumberland School of Law,Cumberland School of Law,TRUE,FALSE
2705,University of Virginia School of Law,University of Virginia School of Law,FALSE,FALSE
3576,University of Miami,George Washington University Law School,FALSE,TRUE
33,Read law,NA,FALSE,FALSE
34,University of Minnesota,University of Minnesota Law School,FALSE,FALSE
6586021,Averett College (now Averett University),North Carolina Central University School of Law,FALSE,FALSE
2827,Mississippi State University,Harvard Law School,FALSE,FALSE
35,St. Francis College,Brooklyn Law School,FALSE,FALSE
6244926,Columbia University,Yale Law School,TRUE,FALSE
2997,Florida International University,Yale Law School,FALSE,FALSE
3080,University of Texas,University of Texas School of Law,FALSE,FALSE
36,Read law,NA,FALSE,FALSE
2850,Georgetown University,Georgetown University Law Center,FALSE,FALSE
37,Duquesne University,Duquesne University School of Law,TRUE,FALSE
38,Hamilton College,NA,FALSE,FALSE
39,College of William and Mary,University of Virginia School of Law,TRUE,FALSE
40,Harvard University,University of Illinois College of Law,FALSE,FALSE
41,Wabash College,NA,TRUE,FALSE
42,University of Utah,University of Utah College of Law (now S.J. Quinney College of Law),TRUE,FALSE
43,Southeastern University,University of South Carolina School of Law,FALSE,FALSE
44,Williams College,Boston University School of Law,TRUE,FALSE
45,University of Chicago,Columbia Law School,FALSE,FALSE
46,University of Idaho College of Law,University of Idaho College of Law,FALSE,FALSE
47,Clemson University,University of South Carolina School of Law,FALSE,FALSE
2928,"University of California, Los Angeles","University of California, Los Angeles, School of Law",TRUE,FALSE
49,Yale College,Yale Law School,FALSE,TRUE
48,Yale College,Harvard Law School,FALSE,FALSE
3173,University of Tennessee,Memphis State University (now University of Memphis) Cecil C. Humphreys School of Law,FALSE,FALSE
50,University of Utah College of Law (now S.J. Quinney College of Law),University of Utah College of Law (now S.J. Quinney College of Law),FALSE,FALSE
51,Mount Union College,NA,TRUE,FALSE
2691,University of Georgia School of Law,University of Georgia School of Law,TRUE,FALSE
3402,Haverford College,"University of California, Berkeley, School of Law",TRUE,FALSE
3188,Bowdoin College,Georgetown University Law Center,FALSE,FALSE
52,University of Michigan,University of Michigan Law School,FALSE,FALSE
12802356,Seton Hall University,Interamerican University of Puerto Rico School of Law,FALSE,FALSE
2857,Florida Southern College,Florida State University College of Law,TRUE,TRUE
3197,Drew University,Rutgers School of Law -- Newark,FALSE,FALSE
54,University of Alabama,Yale Law School,FALSE,FALSE
55,St. Bonaventure University,Villanova University School of Law,TRUE,FALSE
56,Louisiana State University,"American University, Washington College of Law",FALSE,FALSE
57,Yale College,NA,FALSE,FALSE
58,Yale University,George Washington University Law School,FALSE,FALSE
3190,University of Colorado,Harvard Law School,FALSE,FALSE
6385001,Boston College,University of Puerto Rico School of Law,FALSE,FALSE
3568,Rutgers College,Seton Hall University School of Law,FALSE,FALSE
2898,University of New Mexico,University of New Mexico School of Law,FALSE,FALSE
59,Merritt College,University of San Francisco School of Law,TRUE,FALSE
60,University of Arkansas,University of Arkansas School of Law,FALSE,FALSE
61,Yale University,Harvard Law School,FALSE,FALSE
62,Princeton University,Harvard Law School,FALSE,FALSE
63,University of Florida,University of Florida College of Law (now Fredric G. Levin College of Law),FALSE,FALSE
64,University of Florida,University of Florida College of Law (now Fredric G. Levin College of Law),FALSE,FALSE
65,University of Colorado Law School,University of Colorado Law School,FALSE,FALSE
66,Mount Holyoke College,Northeastern University School of Law,FALSE,FALSE
5153446,Tulane University,Tulane University Law School,FALSE,FALSE
67,Northwestern University,Northwestern University School of Law (now Pritzker School of Law),FALSE,FALSE
9359861,University of Tennessee,"Samford University, Cumberland School of Law",TRUE,FALSE
68,University of Florida College of Law (now Fredric G. Levin College of Law),University of Florida College of Law (now Fredric G. Levin College of Law),FALSE,FALSE
3244,Ohio Wesleyan University,Howard University Law Department,TRUE,FALSE
69,Tufts University,New York University School of Law,TRUE,FALSE
70,Southwestern University,University of Texas School of Law,TRUE,FALSE
71,New Jersey Law School (now Rutgers School of Law -- Newark),New Jersey Law School (now Rutgers School of Law -- Newark),FALSE,FALSE
72,Denison University,University of Chicago Law School,TRUE,FALSE
2949,St. Louis University,St. Louis University School of Law,FALSE,FALSE
73,Read law,NA,FALSE,FALSE
4738061,University of Alabama,University of Alabama School of Law,FALSE,FALSE
3161,Mississippi State University,Mississippi College School of Law,FALSE,FALSE
3577,Rutgers University,New York Law School,TRUE,FALSE
74,University of Denver,University of Denver College of Law (now Sturm College of Law),TRUE,FALSE
3459,University of Oklahoma,Washington University School of Law,FALSE,FALSE
8368391,University of Florida,University of Florida Fredric G. Levin College of Law,FALSE,TRUE
6202901,Arizona State University,Arizona State University College of Law (now Sandra Day O’Connor College of Law),TRUE,FALSE
75,Hobart College,Yale Law School,TRUE,FALSE
3141,Dartmouth College,West Virginia University College of Law,TRUE,FALSE
76,Southwestern Presbyterian University (now Rhodes College),Vanderbilt University Law School,FALSE,FALSE
77,Los Angeles City College,"University of California, Los Angeles, School of Law",TRUE,FALSE
78,University of Michigan,NA,FALSE,FALSE
79,Columbia University,University of Illinois College of Law,FALSE,FALSE
80,Wesleyan University,NA,FALSE,FALSE
3427,St. Louis University,University of Arkansas School of Law,FALSE,FALSE
6841726,Louisiana State University,Tulane University Law School,FALSE,FALSE
5152936,Davidson College,University of Georgia School of Law,FALSE,FALSE
81,West Virginia Conference Seminary (now West Virginia Wesleyan College),West Virginia University,TRUE,FALSE
82,New Mexico Military Institute,University of Arizona College of Law (now James E. Rogers College of Law),FALSE,FALSE
83,Read law,NA,TRUE,FALSE
84,Yale College,NA,FALSE,FALSE
85,Read law,NA,TRUE,FALSE
86,South Texas College of Law,NA,TRUE,FALSE
87,University of Kentucky,University of Louisville School of Law (now Louis D. Brandeis School of Law),FALSE,FALSE
88,Read law,NA,FALSE,FALSE
89,Northern Illinois State Normal School (now Northern Illinois University),"Marion Law School, Indiana",FALSE,FALSE
90,Gettysburg College,Boston College Law School,FALSE,FALSE
3329,Albany Law School,Albany Law School,FALSE,FALSE
6595046,University of Florida,University of Pennsylvania Law School (now Carey Law School),TRUE,FALSE
2808,Southeastern Louisiana College,Loyola University New Orleans School of Law,FALSE,FALSE
91,Read law,NA,FALSE,FALSE
92,New York University School of Law,University of Mississippi School of Law,FALSE,FALSE
93,Franklin and Marshall College,University of Pennsylvania Law School (now Carey Law School),TRUE,FALSE
6379986,Texas A&M University,University of Texas School of Law,TRUE,FALSE
6594531,Kenyon College,Ohio State University College of Law (now Michael E. Moritz College of Law),FALSE,FALSE
94,Indiana University,"American University, Washington College of Law",TRUE,FALSE
95,University of Florida College of Law (now Fredric G. Levin College of Law),University of Florida College of Law (now Fredric G. Levin College of Law),FALSE,FALSE
96,"St. Joseph's College, Jensen Beach, Florida",University of Florida College of Law (now Fredric G. Levin College of Law),FALSE,FALSE
97,Virginia Military Institute,University of Virginia School of Law,FALSE,FALSE
98,U.S. Military Academy,University of Mississippi School of Law,FALSE,FALSE
7465661,Brigham Young University,Yale Law School,TRUE,FALSE
99,Dartmouth College,Rutgers School of Law -- Newark,TRUE,FALSE
100,University of Michigan Law School,University of Michigan Law School,FALSE,FALSE
101,Harvard College,NA,FALSE,FALSE
102,U.S. Naval Academy,University of Arkansas School of Law,FALSE,FALSE
