jid,Race,Gender
3419,White,Female
1,White,Male
2,White,Male
3,White,Male
4,White,Male
5,White,Male
6,Non-White,Male
7,White,Male
8,White,Male
9,White,Male
10,White,Male
11,White,Male
12,Non-White,Male
2989,White,Male
3295,White,Male
2717,White,Male
13,White,Male
14,White,Male
9374881,Non-White,Male
2927,White,Male
3174,White,Male
15,Non-White,Male
2750,White,Female
16,White,Male
17,White,Male
18,White,Male
19,Non-White,Male
5198506,White,Male
20,White,Male
21,White,Male
22,White,Female
23,White,Male
24,White,Male
25,White,Male
26,White,Male
3373,Non-White,Female
27,White,Male
28,White,Female
29,White,Male
30,White,Male
31,White,Male
32,White,Male
2705,White,Male
3576,Non-White,Male
33,White,Male
34,White,Male
6586021,Non-White,Male
2827,White,Male
35,White,Male
6244926,Non-White,Male
2997,Non-White,Female
3080,Non-White,Female
36,White,Male
2850,White,Male
37,White,Female
38,White,Male
39,White,Female
40,White,Male
41,White,Male
42,White,Male
43,White,Male
44,White,Male
45,White,Male
46,White,Male
47,White,Male
2928,Non-White,Male
49,White,Male
48,White,Male
3173,White,Male
50,White,Male
51,White,Male
2691,White,Male
3402,White,Male
3188,White,Male
52,White,Male
12802356,Non-White,Female
2857,White,Male
3197,White,Male
54,White,Male
55,White,Male
56,White,Male
57,White,Male
58,White,Male
3190,Non-White,Female
6385001,Non-White,Male
3568,White,Female
2898,Non-White,Female
59,Non-White,Female
60,White,Male
61,White,Male
62,White,Male
63,White,Male
64,White,Male
65,White,Male
66,White,Female
5153446,White,Male
67,White,Male
9359861,White,Male
68,White,Male
3244,White,Male
69,White,Female
70,White,Male
71,White,Male
72,White,Male
2949,Non-White,Male
73,White,Male
4738061,White,Female
3161,White,Female
3577,White,Female
74,White,Male
3459,White,Male
8368391,White,Male
6202901,White,Female
75,White,Male
3141,White,Male
76,White,Male
77,Non-White,Female
78,White,Male
79,White,Male
80,White,Male
3427,White,Female
6841726,White,Male
5152936,White,Male
81,White,Male
82,White,Male
83,White,Male
84,White,Male
85,White,Male
86,White,Male
87,White,Male
88,White,Male
89,White,Male
90,White,Male
3329,White,Male
6595046,White,Male
2808,White,Male
91,White,Male
92,White,Male
93,White,Male
6379986,White,Male
6594531,White,Female
94,White,Female
95,White,Male
96,White,Female
97,White,Male
98,White,Male
7465661,White,Male
99,White,Male
100,White,Male
101,White,Male
102,White,Male
103,White,Male
104,White,Male
3478,White,Male
3235,White,Male
105,White,Male
3979311,White,Female
106,White,Male
3110,White,Male
107,White,Male
3540,White,Male
108,White,Male
109,White,Female
110,White,Male
111,White,Male
112,White,Male
3198,White,Female
3524,White,Female
113,White,Male
114,White,Male
3525,White,Male
115,White,Male
2718,White,Male
116,White,Female
2909,White,Male
3360,White,Male
2858,White,Female
3102,White,Male
117,White,Male
118,White,Male
119,White,Male
120,Non-White,Female
121,White,Male
122,White,Male
123,White,Male
124,White,Male
5153456,White,Female
2941,White,Male
125,White,Male
3036,Non-White,Male
126,White,Male
127,White,Male
128,White,Male
9210651,White,Male
129,White,Male
130,White,Male
131,White,Male
132,Non-White,Male
133,White,Male
5018781,White,Male
134,White,Male
135,White,Male
136,White,Male
137,White,Male
11226136,White,Female
138,White,Female
3297,White,Male
139,White,Male
140,White,Male
141,White,Male
142,White,Male
3569,Non-White,Female
143,White,Male
12910976,White,Female
2924,White,Male
144,White,Male
145,White,Male
146,White,Male
6489616,White,Male
147,White,Male
148,White,Male
149,White,Male
150,White,Male
151,White,Male
152,White,Male
153,Non-White,Male
3411,White,Female
154,White,Male
3066,Non-White,Male
13233251,Non-White,Female
3588,Non-White,Male
155,White,Male
4908101,White,Male
156,White,Male
2996,White,Male
157,White,Male
158,White,Male
160,White,Male
3070,White,Male
3448,White,Male
3223,Non-White,Female
6801611,White,Female
2791,White,Male
3450,Non-White,Male
161,White,Female
162,White,Male
2856,White,Female
3130,Non-White,Male
163,White,Male
164,White,Male
3095,White,Male
3989731,White,Male
165,White,Male
166,White,Male
167,White,Male
168,White,Male
169,White,Male
170,White,Male
3578,Non-White,Female
171,White,Male
172,White,Male
173,White,Male
174,White,Male
175,White,Male
176,White,Male
3556,Non-White,Male
177,White,Female
178,White,Male
3396,Non-White,Female
179,White,Male
180,White,Male
181,White,Male
182,White,Male
183,White,Male
184,White,Female
3259,White,Male
185,White,Male
2922,White,Male
186,White,Female
3234,White,Male
