jid,confirmed,terminated
3419,2012,2023
1,1936,1971
2,1880,1906
3,1982,2018
4,1979,2009
5,1976,1984
6,1982,2014
7,1937,1956
8,1969,1987
9,1895,1916
10,1836,1838
11,1901,1911
12,1993,2023
2989,2003,2023
3295,NA,1928
2717,1997,2023
13,1930,1955
14,1928,1934
9374881,2020,2023
2927,2002,2023
3174,2008,2023
15,1980,1996
2750,1998,2023
16,1961,1981
17,1929,1948
18,1971,2009
19,1979,2015
5198506,2018,2023
20,1991,2023
21,1968,2014
22,1980,2010
23,1954,2002
24,1891,1921
25,1987,2003
26,1990,2006
3373,2011,2023
27,1971,2000
28,1934,1966
29,1888,1901
30,1985,2023
31,1962,1991
32,1939,1959
2705,1963,1986
3576,2014,2023
33,1916,1939
34,1974,2023
6586021,2019,2023
2827,1999,2023
35,1982,1998
6244926,2019,2023
2997,2003,2023
3080,2004,2023
36,1893,1905
2850,2000,2023
37,1993,2023
38,1897,1937
39,1990,2023
40,1991,2010
41,1902,1938
42,1971,1996
43,1980,2016
44,1918,1938
45,1926,1935
46,1971,1988
47,1986,2023
2928,2002,2023
49,1954,1978
48,1979,1981
3173,2008,2023
50,1985,2023
51,1902,1916
2691,NA,1950
3402,2011,2023
3188,2008,2023
52,1911,1912
12802356,2022,2023
2857,2000,2023
3197,1985,2023
54,1939,1941
55,1988,2023
56,1979,1993
57,1901,1913
58,1985,2011
3190,2008,2023
6385001,2019,2023
3568,2014,2023
2898,2001,2023
59,1991,2023
60,1985,1992
61,1978,2004
62,1943,1945
63,1967,1994
64,1976,1997
65,1957,1992
66,1995,2023
5153446,2018,2023
67,1979,2023
9359861,2020,2023
68,1966,1999
3244,1906,1916
69,1995,2022
70,1923,1961
71,1961,1974
72,1961,1977
2949,2002,2023
73,1929,1944
4738061,2018,2023
3161,2007,2023
3577,2014,2023
74,1988,2023
3459,2013,2023
8368391,2020,2023
6202901,2019,2023
75,1994,2014
3141,2007,2023
76,1918,1963
77,1992,2005
78,1902,1924
79,1978,2022
80,1892,1902
3427,2012,2023
6841726,2019,2023
5152936,2018,2023
81,1921,1954
82,1983,1986
83,1865,1869
84,1830,1844
85,1935,1944
86,1968,1991
87,1977,1992
88,1862,1879
89,1925,1950
90,1992,2023
3329,1910,1930
6595046,2019,2023
2808,1998,2023
91,1830,1841
92,1983,2021
93,1940,1952
6379986,2019,2023
6594531,2019,2023
94,1984,2023
95,1940,1968
96,1994,2013
97,1940,1972
98,1990,2023
7465661,2019,2023
99,1969,1979
100,1899,1914
101,1802,1812
102,1993,2019
103,1931,1958
104,1956,1990
3478,2013,2023
3235,1905,1919
105,1880,1899
3979311,2017,2020
106,1971,2011
3110,2006,2023
107,1922,1941
3540,2014,2023
108,1962,1979
109,1983,2019
110,1959,1997
111,1991,2023
112,1981,2000
3198,1998,2023
3524,2014,2023
113,1801,1802
114,1991,2006
3525,2014,2023
115,1950,1975
2718,1997,2023
116,1985,1992
2909,2001,2023
3360,2011,2023
2858,2000,2021
3102,2006,2023
117,1985,2017
118,1969,1996
119,1961,1994
120,1994,2020
121,1917,1919
122,1971,1975
123,1971,1974
124,1877,1886
5153456,2018,2023
2941,2002,2023
125,1950,1993
3036,2003,2023
126,1981,1987
127,1962,1974
128,1909,1931
9210651,2020,2023
129,1925,1925
130,1892,1907
131,1979,2001
132,1994,2018
133,1939,1954
5018781,2018,2023
134,1972,2001
135,1958,1981
136,1970,2006
137,1961,1992
11226136,2021,2023
138,1992,2023
3297,1967,1968
139,1789,1812
140,1790,1812
141,1961,1988
142,1979,2018
3569,2014,2023
143,1984,2012
12910976,2022,2023
2924,2002,2023
144,1979,2001
145,1962,1976
146,1961,1967
6489616,2019,2023
147,1933,1964
148,1987,2023
149,1982,2010
150,1893,1905
151,1967,1999
152,1991,2023
153,1994,2023
3411,2012,2023
154,1865,1897
3066,2004,2023
13233251,2023,2023
3588,2015,2023
155,1972,2000
4908101,2018,2023
156,1994,2019
2996,2003,2023
157,1991,2020
158,1801,1802
160,1971,2004
3070,2004,2023
3448,2012,2023
3223,2009,2023
6801611,2019,2023
2791,1998,2023
3450,2012,2023
161,1994,2023
162,1979,2023
2856,2000,2023
3130,2006,2023
163,1905,1909
164,1826,1867
3095,2005,2019
3989731,2017,2023
165,1954,1963
166,1939,1940
167,1994,2023
168,1984,2023
169,1858,1861
170,1937,1979
3578,2014,2023
171,1979,1998
172,1876,1893
173,1984,2014
174,1888,1903
175,1913,1949
176,1990,2010
3556,2014,2023
177,1984,1990
178,1982,2005
3396,2011,2023
179,1973,1991
180,1995,2017
181,1937,1971
182,1939,1950
183,1979,1997
184,1979,1992
3259,2010,2023
185,1982,2014
2922,2002,2023
186,1991,2023
3234,1855,1859
187,1959,1999
12916001,2022,2023
188,1971,1980
189,1789,1795
190,1995,2023
3579,2014,2023
3330,1923,1947
191,1820,1824
192,1867,1893
193,1971,2016
194,1914,1925
195,1979,2023
196,1994,2023
197,1870,1892
3552,2014,2023
198,1961,1988
8895341,2020,2023
10300021,2021,2023
199,1881,1916
3363,2011,2023
200,1920,1929
201,1962,1973
3199,1971,1992
202,1986,2023
203,1970,2009
204,1961,2003
3570,2014,2023
205,1953,1984
2884,2000,2023
206,1870,1893
207,1923,1964
208,1944,1970
209,1989,1990
210,1962,1995
211,1980,2011
4444651,2018,2023
3274,1905,1947
212,1914,1944
213,1954,2005
214,1928,1966
215,1954,1982
216,1982,1988
217,1994,2023
218,1990,2021
3580,2014,2023
6595551,2019,2023
3546,2014,2023
219,1796,1802
220,1912,1958
2899,2001,2023
221,1979,2023
222,1934,1978
223,1983,2023
224,1968,2003
225,1850,1861
226,1901,1935
227,1940,1988
3082,2004,2023
228,1966,2002
229,1977,2006
3067,2004,2023
230,1827,1834
231,1978,1983
232,1984,2023
233,1924,1954
234,1864,1870
3012,2003,2023
235,1871,1884
236,1897,1918
237,1889,1902
238,1870,1892
6278456,2019,2023
2859,2000,2017
239,1991,2023
240,1974,2010
4237586,2018,2023
241,1916,1941
3455,2012,2023
5153461,2018,2023
6383991,2019,2020
242,1970,1977
243,1964,2002
244,1933,1963
245,1894,1911
246,1789,1790
3335,2010,2023
2987,2003,2023
247,1954,1986
11442236,2022,2023
4602991,2018,2023
248,1942,1968
249,1957,1997
6729576,2019,2023
250,1979,2003
251,1884,1910
252,1922,1946
253,1962,1979
254,1984,2012
2719,1997,2023
255,1980,1994
3367,2011,2023
256,1971,2008
257,1932,1972
258,1941,1948
259,1968,2016
260,1975,2014
3191,2008,2023
261,1993,2023
262,1994,2023
263,1995,2023
264,1826,1836
265,1980,2023
5375096,2018,2023
266,1940,1949
267,1996,2006
268,1846,1861
269,1971,2000
3488,2013,2023
270,1976,1995
3413,2012,2023
271,1992,2023
272,1991,2000
273,1846,1855
274,1979,1996
275,1866,1882
276,1954,1971
3509,2014,2023
4477666,2018,2023
277,1985,2014
278,1988,2023
279,1975,2014
7049261,2019,2023
280,1881,1901
2840,1999,2023
281,1896,1927
282,1961,1997
3495,2013,2023
283,1985,2012
7545476,2019,2023
3303,NA,1941
284,1875,1906
3088,2005,2017
6840201,2019,2023
285,1955,1993
4028216,2018,2023
286,1833,1853
3387,2011,2023
287,1985,2012
288,1945,1948
289,1962,2012
3023,2003,2023
290,1961,2012
291,1984,2008
3490,2013,2023
292,1875,1901
293,1953,1976
294,1985,2009
295,1947,1984
296,1971,2019
297,1956,1978
298,1866,1886
299,1920,1935
300,1986,2023
301,1890,1910
302,1927,1945
303,1931,1951
3144,2007,2023
304,1965,2005
305,1994,2023
306,1977,1991
307,1979,2009
2838,1999,2023
308,1993,2023
309,1985,2023
310,1994,2023
311,1990,2023
312,1970,2020
6801616,2019,2023
313,1892,1947
314,1982,2006
315,1865,1869
7499211,2019,2023
3116,2006,2023
316,1877,1905
2919,2002,2023
317,1979,2001
318,1979,1995
319,1956,1995
320,1994,2010
3096,2005,2023
321,1937,1981
5373561,2018,2023
322,1958,1988
323,1978,2019
324,1972,2001
3033,2003,2023
325,1925,1928
326,1950,1952
327,1902,1917
328,1994,2001
329,1992,2023
3581,2014,2023
330,1928,1930
331,1945,1964
2925,2002,2023
3114866,2017,2023
332,1864,1874
333,1959,1978
334,1988,2023
335,1922,1939
336,1879,1899
2787,1998,2002
337,1962,2006
2981,2003,2023
2852,2000,2016
338,1929,1962
339,1803,1828
341,1971,2006
340,1950,1974
342,1941,1942
3550,2014,2023
343,1966,1971
344,1979,1994
345,1981,2018
346,1858,1879
347,1929,1951
348,1961,1993
349,1980,2004
350,1974,1998
351,1940,1946
6631566,2019,2023
3386,2011,2023
9280736,2020,2023
352,1994,2023
13268821,2023,2023
353,1826,1839
354,1864,1903
2894,2001,2023
355,1982,2019
356,1913,1927
3002,2003,2023
357,1976,1997
11690376,2022,2023
358,1988,2000
359,1955,1964
360,1988,2010
3011,2003,2023
3236,1913,1938
361,1853,1861
362,1829,1833
363,1971,1972
364,1923,1944
365,1908,1918
366,1995,2023
367,1995,2021
368,1940,1988
4027846,2018,2023
369,1978,2001
370,1980,2023
2692,1967,1974
371,1963,1996
9188596,2020,2023
372,1924,1933
3487,2013,2023
